raw_type,mapped_type
!,operator
!=,operator
"""",punct
#define,keyword
#include,keyword
%,operator
%=,operator
&,operator
&&,operator
&=,operator
',punct
(,punct
),punct
*,operator
*=,operator
+,operator
++,operator
+=,operator
",",punct
-,operator
--,operator
-=,operator
->,operator
->*,operator
.,punct
.*,operator
...,punct
/,operator
/=,operator
:,punct
::,operator
;,punct
<,operator
<<,operator
<<=,operator
<=,operator
=,operator
==,operator
>,operator
>=,operator
>>,operator
>>=,operator
?,punct
@,punct
[,punct
],punct
^,operator
^=,operator
abstract,keyword
alignas,keyword
assert,keyword
auto,keyword
binary_integer_literal,literal
block_comment,to_drop
boolean,keyword
boolean_type,keyword
break,keyword
byte,keyword
case,keyword
catch,keyword
char,keyword
character,literal
character_literal,literal
class,keyword
co_await,keyword
co_return,keyword
co_yield,keyword
comment,to_drop
concept,keyword
const,keyword
constexpr,keyword
continue,keyword
decimal_floating_point_literal,literal
decimal_integer_literal,literal
decltype,keyword
default,keyword
do,keyword
double,keyword
else,keyword
enum,keyword
escape_sequence,literal
explicit,keyword
exports,keyword
extends,keyword
false,keyword
field_identifier,name
final,keyword
finally,keyword
float,keyword
for,keyword
friend,keyword
goto,keyword
hex_integer_literal,literal
identifier,name
if,keyword
implements,keyword
import,keyword
inline,keyword
instanceof,keyword
int,keyword
interface,keyword
line_comment,to_drop
long,keyword
method_invocation,name
module,keyword
mutable,keyword
namespace,keyword
namespace_identifier,name
native,keyword
new,keyword
noexcept,keyword
null,keyword
null,literal
nullptr,keyword
number_literal,literal
octal_integer_literal,literal
open,keyword
opens,keyword
operator,keyword
override,keyword
package,keyword
preproc_arg,literal
primitive_type,keyword
private,keyword
protected,keyword
provides,keyword
public,keyword
raw_string_literal,literal
requires,keyword
return,keyword
short,keyword
signed,keyword
static,keyword
static_assert,keyword
strictfp,keyword
string_content,literal
string_literal,literal
struct,keyword
super,keyword
switch,keyword
synchronized,keyword
system_lib_string,literal
template,keyword
text_block,literal
this,keyword
throw,keyword
throws,keyword
to,keyword
transient,keyword
transitive,keyword
true,keyword
try,keyword
type_identifier,name
typedef,keyword
typename,keyword
union,keyword
unsigned,keyword
user_defined_literal,literal
uses,keyword
using,keyword
virtual,keyword
void,keyword
void_type,keyword
volatile,keyword
while,keyword
with,keyword
{,punct
|,operator
|=,operator
||,operator
},punct
~,operator
