raw_type,mapped_type
(,punct
),punct
{,punct
},punct
[,punct
],punct
;,punct
"""",punct
",",punct
.,punct
...,punct
@,punct
:,punct
?,punct
=,operator
+,operator
-,operator
*,operator
/,operator
%,operator
&,operator
|,operator
^,operator
!,operator
~,operator
<,operator
>,operator
==,operator
!=,operator
<=,operator
+=,operator
++,operator
<<,operator
>>,operator
--,operator
&&,operator
||,operator
->,operator
::,operator
.*,operator
->*,operator
*=,operator
/=,operator
%=,operator
-=,operator
&=,operator
|=,operator
^=,operator
<<=,operator
>>=,operator
>=,operator
public,keyword
private,keyword
protected,keyword
static,keyword
final,keyword
abstract,keyword
class,keyword
interface,keyword
extends,keyword
implements,keyword
void,keyword
void_type,keyword
int,keyword
byte,keyword
short,keyword
long,keyword
float,keyword
double,keyword
boolean,keyword
boolean_type,keyword
char,keyword
if,keyword
else,keyword
for,keyword
while,keyword
do,keyword
switch,keyword
case,keyword
default,keyword
break,keyword
continue,keyword
return,keyword
try,keyword
catch,keyword
finally,keyword
throw,keyword
throws,keyword
new,keyword
this,keyword
super,keyword
import,keyword
package,keyword
instanceof,keyword
assert,keyword
native,keyword
strictfp,keyword
volatile,keyword
transient,keyword
synchronized,keyword
enum,keyword
module,keyword
open,keyword
requires,keyword
exports,keyword
provides,keyword
uses,keyword
opens,keyword
to,keyword
with,keyword
transitive,keyword
identifier,name
type_identifier,name
field_identifier,name
namespace_identifier,name
method_invocation,name
decimal_integer_literal,literal
decimal_floating_point_literal,literal
hex_integer_literal,literal
octal_integer_literal,literal
binary_integer_literal,literal
character_literal,literal
string_literal,literal
text_block,literal
true,keyword
false,keyword
null,literal
null,keyword
line_comment,to_drop
block_comment,to_drop
comment,to_drop
#define,keyword
#include,keyword
preproc_arg,literal
const,keyword
primitive_type,keyword
number_literal,literal
string_content,literal
system_lib_string,literal
escape_sequence,literal
character,literal
',punct
namespace,keyword
template,keyword
typename,keyword
using,keyword
auto,keyword
struct,keyword
union,keyword
typedef,keyword
goto,keyword
signed,keyword
unsigned,keyword
inline,keyword
friend,keyword
mutable,keyword
explicit,keyword
virtual,keyword
constexpr,keyword
decltype,keyword
noexcept,keyword
alignas,keyword
operator,keyword
nullptr,keyword
override,keyword
concept,keyword
co_await,keyword
co_yield,keyword
co_return,keyword
static_assert,keyword
raw_string_literal,literal
user_defined_literal,literal
