raw_type,mapped_type
(,punct
),punct
{,punct
},punct
[,punct
],punct
;,punct
"""",punct
",",punct
.,punct
...,punct
@,punct
:,punct
?,punct
=,operator
+,operator
-,operator
*,operator
/,operator
%,operator
&,operator
|,operator
^,operator
!,operator
~,operator
<,operator
>,operator
==,operator
!=,operator
<=,operator
+=,operator
++,operator
public,keyword
private,keyword
protected,keyword
static,keyword
final,keyword
abstract,keyword
class,keyword
interface,keyword
extends,keyword
implements,keyword
void,keyword
void_type,keyword
int,keyword
byte,keyword
short,keyword
long,keyword
float,keyword
double,keyword
boolean,keyword
boolean_type,keyword
char,keyword
if,keyword
else,keyword
for,keyword
while,keyword
do,keyword
switch,keyword
case,keyword
default,keyword
break,keyword
continue,keyword
return,keyword
try,keyword
catch,keyword
finally,keyword
throw,keyword
throws,keyword
new,keyword
this,keyword
super,keyword
import,keyword
package,keyword
instanceof,keyword
assert,keyword
native,keyword
strictfp,keyword
volatile,keyword
transient,keyword
synchronized,keyword
enum,keyword
module,keyword
open,keyword
requires,keyword
exports,keyword
provides,keyword
uses,keyword
opens,keyword
to,keyword
with,keyword
transitive,keyword
identifier,name
type_identifier,name
field_identifier,name
method_invocation,name
decimal_integer_literal,literal
decimal_floating_point_literal,literal
hex_integer_literal,literal
octal_integer_literal,literal
binary_integer_literal,literal
character_literal,literal
string_literal,literal
text_block,literal
true,keyword
false,keyword
null,literal
null,keyword
line_comment,to_drop
block_comment,to_drop
#define,keyword
#include,keyword
#endif,keyword
#ifdef,keyword
#ifndef,keyword
',punct
&&,operator
->,operator
--,operator
::,operator
*=,operator
>=,operator
>>,operator
>>>,operator
||,operator
character,literal
comment,to_drop
escape_sequence,literal
NULL,literal
null_literal,literal
sizeof,keyword
string_fragment,literal
struct,keyword
typedef,keyword
extern,keyword
/=,operator
-=,operator
^=,operator
&=,operator
|=,operator
%=,operator
<<,operator
<<=,operator
>>=,operator
